name,age,nationality,overall,club,preferred_foot,jersey number,contract valid until,height,weight,league,speciality
L. Schwechlen,29,France,66,BB Erzurumspor,Left,5,2020,72,172,SÜPER LIG,No Speciality
Jonatan Lucca,24,Brazil,66,Os Belenenses,Right,47,2021,73,168,0,No Speciality
L. Hufnagel,24,Georgia,66,SpVgg Unterhaching,Right,10,2021,72,161,0,No Speciality
J. Rothwell,23,England,66,Blackburn Rovers,Right,8,2021,73,170,EFL CHAMPIONSHIP,No Speciality
J. Rodríguez,22,Colombia,66,CD Tenerife,Right,7,2019,70,157,LALIGA 1 | 2 | 3,No Speciality
A. Claude Maurice,20,France,66,FC Lorient,Right,10,2022,69,137,DOMINO'S LIGUE 2,No Speciality
R. Taylor,30,England,66,Plymouth Argyle,Left,9,2020,74,150,EFL LEAGUE ONE,No Speciality
M. Mešanović,27,Bosnia Herzegovina,66,SK Slavia Praha,Right,24,2019,70,165,0,No Speciality
G. Plet,30,Netherlands,66,Alanyaspor,Right,29,2019,76,185,SÜPER LIG,No Speciality
B. Dickenson,25,England,66,Colchester United,Left,11,2019,72,179,0,No Speciality
T. Takagi,27,Japan,66,Cerezo Osaka,Right,13,2021,67,141,MEIJI YASUDA J1,No Speciality
D. Thopola,28,South Africa,66,Orlando Pirates,Right,35,2021,70,159,REST OF WORLD,No Speciality
J. Juelsgård,29,Denmark,66,Aarhus GF,Left,18,2019,72,179,SUPERLIGA,No Speciality
A. Traoré,23,Mali,66,FC Metz,Left,9,2022,70,154,DOMINO'S LIGUE 2,No Speciality
G. Sandoval,34,Chile,66,CD Antofagasta,Right,18,2018,67,150,CAMP. SCOTIABANK,No Speciality
S. Mpontshane,32,South Africa,66,Orlando Pirates,Left,40,2018,72,174,REST OF WORLD,Goalkeeper
C. McCann,30,Republic of Ireland,66,Atlanta United,Left,16,2018,73,165,MLS,No Speciality
O. Bozanic,29,Australia,66,Heart of Midlothian,Left,7,2020,70,165,0,No Speciality
L. Lezzerini,23,Italy,66,Venezia FC,Right,22,2020,77,190,0,Goalkeeper
M. Yaghoubi,23,Finland,66,HJK Helsinki,Right,8,2018,70,185,REST OF WORLD,No Speciality
Joni Montiel,19,Spain,66,Deportivo de La Coruña,Left,34,"Jun 30, 2019",68,148,0,No Speciality
D. Gorter,30,Netherlands,66,ADO Den Haag,Left,6,2020,69,154,EREDIVISIE,No Speciality
T. Mears,35,England,66,West Bromwich Albion,Right,12,2019,71,163,EFL CHAMPIONSHIP,No Speciality
S. Diakité,29,Mali,66,Red Star FC,Right,24,2020,73,176,DOMINO'S LIGUE 2,No Speciality
R. Mulumba,25,DR Congo,66,KAS Eupen,Right,6,2019,71,168,PRO LEAGUE,No Speciality
M. Høibråten,23,Norway,66,Sandefjord Fotball,Left,13,2020,72,170,0,No Speciality
M. Lackner,27,Austria,66,SK Sturm Graz,Right,6,2021,76,165,Ö. BUNDESLIGA,No Speciality
M. Domínguez,18,Mexico,66,Cruz Azul,Left,14,"May 31, 2019",63,128,LIGA BANCOMER MX,No Speciality
O. Käuper,21,Germany,66,SV Werder Bremen,Left,14,2020,74,170,BUNDESLIGA,No Speciality
A. Al Salem,25,Saudi Arabia,66,Al Fayha,Right,11,2021,72,163,SAUDI PROFESSIONAL LEAGUE,No Speciality
R. Vanegas,25,Colombia,66,Once Caldas,Right,7,2023,69,159,LIGA DIMAYOR,No Speciality
Pablo Larrea,24,Spain,66,CD Numancia,Right,8,2019,69,143,LALIGA 1 | 2 | 3,No Speciality
L. Craig,31,Scotland,66,St. Johnstone FC,Left,26,2019,72,181,0,No Speciality
D. Gomis,25,France,66,GFC Ajaccio,Right,10,2019,68,150,0,No Speciality
N. Blackman,28,England,66,Real Sporting de Gijón,Left,9,"Jun 30, 2019",73,163,0,No Speciality
F. Kaufmann,25,Germany,66,FC Würzburger Kickers,Right,7,2019,71,159,0,No Speciality
J. Ginnelly,21,England,66,Walsall,Right,11,2019,68,143,EFL LEAGUE ONE,No Speciality
L. Nmecha,19,England,66,Preston North End,Right,45,2021,73,154,0,No Speciality
I. Alhassan,21,Nigeria,66,CD Nacional,Right,6,2022,74,159,0,No Speciality
L. Crecco,22,Italy,66,Pescara,Left,25,2021,72,168,CALCIO B,No Speciality
D. Charles,30,England,66,Wycombe Wanderers,Left,21,2019,73,187,0,Strength
Cris Salvador,23,Spain,66,Real Sporting de Gijón,Right,20,2019,72,170,0,No Speciality
R. Benson,26,Republic of Ireland,66,Dundalk,Left,18,2020,69,170,SSE AIRTRICITY LEAGUE,No Speciality
R. Riski,28,Finland,66,HJK Helsinki,Right,9,2019,69,150,REST OF WORLD,No Speciality
K. Hafez,22,Egypt,66,Medipol Başakşehir FK,Left,30,2023,69,161,SÜPER LIG,No Speciality
C. Harriott,24,England,66,Reading,Left,15,2019,65,146,EFL CHAMPIONSHIP,No Speciality
T. Belmonte,20,Argentina,66,Club Atlético Lanús,Right,13,2020,70,150,0,No Speciality
B. Eleke,22,Nigeria,66,FC Luzern,Right,10,2022,75,194,RAIFFEISEN SUPER LEAGUE,No Speciality
O. Beckles,26,England,66,Shrewsbury,Right,6,2020,75,172,EFL LEAGUE ONE,No Speciality
Park Jin Po,30,Korea Republic,66,Jeju United FC,Left,6,2022,68,159,0,No Speciality
T. Naylor,27,England,66,Portsmouth,Right,7,2021,74,159,EFL LEAGUE ONE,No Speciality
G. Kiltie,21,Scotland,66,Kilmarnock,Right,10,2020,68,154,SCOTTISH PREMIERSHIP,No Speciality
R. Shirasaki,25,Japan,66,Shimizu S-Pulse,Right,10,2021,71,154,MEIJI YASUDA J1,No Speciality
T. Charles,33,Argentina,66,Club Deportes Temuco,Left,18,2019,72,174,0,No Speciality
A. Falatah,34,Saudi Arabia,66,Al Qadisiyah,Left,19,2019,69,154,SAUDI PROFESSIONAL LEAGUE,No Speciality
I. Tarasovs,29,Latvia,66,Śląsk Wrocław,Right,32,2019,75,187,EKSTRAKLASA,No Speciality
P. Stolarski,22,Poland,66,Legia Warszawa,Right,41,2021,71,163,EKSTRAKLASA,No Speciality
M. Odjer,21,Ghana,66,US Salernitana 1919,Right,6,2020,67,152,0,Engine
B. Niňaj,24,Slovakia,66,Fortuna Sittard,Right,5,2021,75,187,EREDIVISIE,No Speciality
Crysan,21,Brazil,66,Al Batin,Left,23,2019,75,181,SAUDI PROFESSIONAL LEAGUE,No Speciality
O. Eddahri,27,Sweden,66,Djurgårdens IF,Right,12,2018,73,170,ALLSVENSKAN,No Speciality
J. Obika,27,England,66,Oxford United,Left,20,2019,72,168,EFL LEAGUE ONE,No Speciality
T. Zhamaletdinov,21,Russia,66,PFC CSKA Moscow,Right,75,2020,72,161,REST OF WORLD,No Speciality
K. Mets,25,Estonia,66,NAC Breda,Left,5,2020,75,176,EREDIVISIE,No Speciality
M. Coulibaly,19,Senegal,66,Udinese,Right,98,2022,72,170,SERIE A TIM,No Speciality
D. Mayor,27,England,66,Bury,Right,10,2019,72,168,EFL LEAGUE TWO,No Speciality
H. Pell,26,England,66,Colchester United,Right,8,2021,76,187,0,Engine
S. McQueen,23,England,66,Middlesbrough,Left,14,"Jun 30, 2019",71,154,EFL CHAMPIONSHIP,No Speciality
L. Michel,38,Mexico,66,Club Tijuana,Right,29,2018,72,163,0,Goalkeeper
C. Lykogiannis,24,Greece,66,Cagliari,Left,22,2022,73,172,SERIE A TIM,No Speciality
S. Hertner,27,Germany,66,SV Darmstadt 98,Left,2,2020,71,165,0,No Speciality
Arturo Molina,22,Spain,66,Levante UD,Right,31,2019,72,165,LALIGA SANTANDER,No Speciality
C. Warner,30,United States,66,Minnesota United FC,Right,26,2022,70,176,0,No Speciality
V. Prodell,30,Sweden,66,IF Elfsborg,Right,22,2018,75,190,ALLSVENSKAN,No Speciality
T. Renault,34,France,66,US Orléans Loiret Football,Right,1,2019,72,176,0,Goalkeeper
A. Muyl,22,United States,66,New York Red Bulls,Right,19,2020,71,174,0,No Speciality
E. Apeh,21,Nigeria,66,RC Celta,Right,35,2019,71,154,LALIGA SANTANDER,No Speciality
Alex Pozo,19,Spain,66,Granada CF,Right,9,"Jun 30, 2019",68,137,LALIGA 1 | 2 | 3,No Speciality
D. Kikuchi,27,Japan,66,Urawa Red Diamonds,Right,38,2021,68,150,0,No Speciality
R. Austin,33,Jamaica,66,Esbjerg fB,Right,8,2019,71,172,SUPERLIGA,No Speciality
M. Machaj,29,Poland,66,Jagiellonia Białystok,Right,89,2020,69,148,0,No Speciality
H. Radetinac,32,Serbia,66,Djurgårdens IF,Right,9,2019,74,161,ALLSVENSKAN,No Speciality
M. Mikić,38,Croatia,66,Shonan Bellmare,Right,41,2022,70,150,MEIJI YASUDA J1,No Speciality
M. Guevgeozián,32,Armenia,66,Gimnasia y Esgrima La Plata,Right,18,2019,72,174,0,No Speciality
G. Viscarra,25,Bolivia,66,Free Agent,Right,23,Free Agent,75,176,0,Goalkeeper
I. Lapshov,19,Russia,66,Lokomotiv Moscow,Right,42,2021,74,168,REST OF WORLD,No Speciality
E. Fejzullahu,30,Kosovo,66,Kalmar FF,Right,44,2018,71,176,ALLSVENSKAN,No Speciality
J. Ekstrand,29,Sweden,66,AIK,Right,26,2020,74,170,ALLSVENSKAN,No Speciality
G. Rolando,23,Italy,66,Sampdoria,Right,95,2019,72,157,SERIE A TIM,No Speciality
R. Inniss,23,England,66,Dundee FC,Right,15,"Jun 30, 2019",77,185,SCOTTISH PREMIERSHIP,No Speciality
T. Yamashita,30,Japan,66,Cerezo Osaka,Right,23,2021,72,161,MEIJI YASUDA J1,No Speciality
X. Emmers,18,Belgium,66,US Cremonese,Right,27,"Jun 30, 2019",70,159,0,No Speciality
L. Morgan,21,Scotland,66,Celtic,Right,16,2022,70,165,SCOTTISH PREMIERSHIP,No Speciality
W. Kvist,33,Denmark,66,FC København,Right,6,2020,72,176,SUPERLIGA,No Speciality
B. Jayiya,28,South Africa,66,Kaizer Chiefs,Right,13,2020,69,143,REST OF WORLD,No Speciality
J. Huyghebaert,29,Belgium,66,Neuchâtel Xamax,Left,82,"Jun 30, 2019",71,163,RAIFFEISEN SUPER LEAGUE,No Speciality
José Ángel,26,Spain,66,FK Bodø/Glimt,Left,10,2019,72,163,ELITESERIEN,No Speciality
Y. Hurtado,21,Colombia,66,Alianza Petrolera,Right,6,2021,67,148,0,No Speciality
J. González,26,Mexico,66,Lobos BUAP,Left,26,"May 31, 2019",67,174,0,No Speciality
R. Söder,27,Sweden,66,IFK Göteborg,Right,9,2021,70,157,ALLSVENSKAN,No Speciality
Choi Bo Kyung,30,Korea Republic,66,Jeonbuk Hyundai Motors,Left,6,2022,72,174,0,No Speciality
A. Hadouir,35,Netherlands,66,Excelsior,Right,7,2019,68,150,EREDIVISIE,No Speciality
He Chao,23,China PR,66,Changchun Yatai FC,Right,21,2021,70,170,CSL,No Speciality
M. Booysen,29,South Africa,66,Kaizer Chiefs,Right,5,2020,76,172,REST OF WORLD,No Speciality
C. Main,26,England,66,Motherwell,Right,9,2019,72,190,SCOTTISH PREMIERSHIP,No Speciality
J. Grimmer,24,Scotland,66,Coventry City,Right,2,2019,72,183,EFL LEAGUE ONE,No Speciality
A. Kann,27,United States,66,Atlanta United,Left,25,2018,76,190,MLS,Goalkeeper
M. Lepe,27,Chile,66,CD Antofagasta,Right,21,"Dec 31, 2018",70,170,CAMP. SCOTIABANK,No Speciality
J. Bandowski,24,Germany,66,VfL Bochum 1848,Left,25,2019,75,179,0,No Speciality
Nelson Ferreira,36,Portugal,66,FC Thun,Right,21,2019,69,159,RAIFFEISEN SUPER LEAGUE,No Speciality
A. Matuszczyk,29,Poland,66,Zagłębie Lubin,Right,25,2020,72,161,EKSTRAKLASA,No Speciality
D. Stahl,29,Germany,66,SpVgg Unterhaching,Right,20,2019,72,174,0,No Speciality
Yun Il Lok,26,Korea Republic,66,Yokohama F. Marinos,Right,25,2018,70,143,0,No Speciality
R. McLaughlin,23,Northern Ireland,66,Blackpool,Right,17,2020,69,152,EFL LEAGUE ONE,No Speciality
P. Joosten,22,Netherlands,66,VVV-Venlo,Right,19,"Jun 30, 2019",71,146,EREDIVISIE,No Speciality
G. Magnani,22,Italy,66,Sassuolo,Left,23,2020,75,192,SERIE A TIM,No Speciality
F. Bong,30,Cameroon,66,Paris FC,Right,2,2019,74,201,DOMINO'S LIGUE 2,Strength
M. Restrepo,37,Colombia,66,Once Caldas,Right,20,2019,69,154,LIGA DIMAYOR,No Speciality
T. Akindele,26,Canada,66,FC Dallas,Right,8,2018,73,174,MLS,No Speciality
R. van der Meer,23,Netherlands,66,Excelsior,Left,5,2021,77,190,EREDIVISIE,No Speciality
R. Gartler,32,Austria,66,SKN St. Pölten,Right,7,2020,72,172,Ö. BUNDESLIGA,No Speciality
C. Lobos,21,Chile,66,Universidad Católica,Right,20,2023,68,154,0,No Speciality
R. Cierzniak,35,Poland,66,Legia Warszawa,Right,33,2019,74,179,EKSTRAKLASA,Goalkeeper
M. Abdellaoue,29,Norway,66,Strømsgodset IF,Right,30,2021,71,163,ELITESERIEN,No Speciality
L. Novak,29,England,66,Scunthorpe United,Right,17,2019,72,172,0,No Speciality
Jung Seung Yong,27,Korea Republic,66,Gangwon FC,Left,22,2022,72,183,K-LEAGUE 1,No Speciality
L. Gugganig,23,Austria,66,SpVgg Greuther Fürth,Right,4,2019,75,183,0,No Speciality
A. Donnarumma,27,Italy,66,Milan,Right,90,2021,76,212,SERIE A TIM,Goalkeeper
P. Steinhart,25,Germany,66,TSV 1860 München,Left,36,2021,72,154,0,No Speciality
Olavide,22,Spain,66,CA Osasuna,Left,27,2019,70,154,LALIGA 1 | 2 | 3,No Speciality
C. Jakobsen,25,Denmark,66,SønderjyskE,Right,8,2020,74,185,SUPERLIGA,No Speciality
Berrocal,18,Spain,66,Sevilla FC,Right,37,2022,72,159,LALIGA SANTANDER,No Speciality
R. Amaral,21,Uruguay,66,Racing Club,Left,32,2021,70,183,SAF,No Speciality
Abdón,25,Spain,66,RCD Mallorca,Left,9,2021,71,174,LALIGA 1 | 2 | 3,No Speciality
A. Al Mayoof,31,Saudi Arabia,66,Al Hilal,Right,1,2020,74,212,SAUDI PROFESSIONAL LEAGUE,Goalkeeper
A. Paleari,25,Italy,66,Cittadella,Right,1,2021,76,194,CALCIO B,Goalkeeper
José Lara,18,Spain,66,Sevilla FC,Left,36,2019,66,132,LALIGA SANTANDER,No Speciality
A. Juel Andersen,27,Denmark,66,Vendsyssel FF,Right,30,2020,74,185,SUPERLIGA,No Speciality
G. Vadalá,21,Argentina,66,CD Universidad de Concepción,Right,23,"Jun 30, 2019",66,143,0,No Speciality
Borja Sánchez,22,Spain,66,Real Oviedo,Right,31,2019,74,174,0,No Speciality
A. Ogogo,28,England,66,Coventry City,Right,16,2021,70,172,EFL LEAGUE ONE,No Speciality
D. Pratley,33,England,66,Charlton Athletic,Right,15,2020,73,152,0,Engine
K. Takayama,29,Japan,66,Shonan Bellmare,Right,23,2019,69,148,MEIJI YASUDA J1,No Speciality
S. Bakış,24,Turkey,66,FC Admira Wacker Mödling,Right,11,2021,74,176,0,No Speciality
Dani Martín,19,Spain,66,Real Sporting de Gijón,Right,1,2021,73,168,0,Goalkeeper
Zhang Wenzhao,31,China PR,66,Guangzhou Evergrande Taobao FC,Right,15,2021,70,139,CSL,No Speciality
C. Goodwin,26,Australia,66,Adelaide United,Left,11,2021,71,161,HYUNDAI A-LEAGUE,No Speciality
J. Becerra,24,Colombia,66,Atlético Huila,Right,10,2023,65,137,LIGA DIMAYOR,No Speciality
C. Bravo,24,Chile,66,San Luis de Quillota,Right,18,"Dec 31, 2018",66,154,0,No Speciality
V. Ramis,23,Argentina,66,Godoy Cruz,Right,11,2021,71,172,SAF,No Speciality
F. Torres,35,Mexico,66,Lobos BUAP,Right,28,2019,67,154,0,No Speciality
M. Mihara,29,Japan,66,Vissel Kobe,Right,24,2021,69,148,MEIJI YASUDA J1,No Speciality
T. Flanagan,26,Northern Ireland,66,Sunderland,Right,12,2020,74,168,EFL LEAGUE ONE,No Speciality
L. Thompson,23,Wales,66,Norwich City,Right,34,2022,71,165,0,No Speciality
A. Schlager,22,Austria,66,LASK Linz,Right,1,2021,72,170,Ö. BUNDESLIGA,Goalkeeper
J. Kaprof,23,Argentina,66,Atlético Tucumán,Right,25,2019,67,157,SAF,No Speciality
L. Mulholland,29,England,66,Real Salt Lake,Right,19,2019,69,150,MLS,No Speciality
S. Aasmundsen,28,Norway,66,Kristiansund BK,Right,18,2019,69,163,0,No Speciality
C. Ejuke,20,Nigeria,66,Vålerenga Fotball,Right,40,2020,69,159,ELITESERIEN,No Speciality
F. Apaolaza,21,Argentina,66,Estudiantes de La Plata,Right,19,2020,74,174,0,No Speciality
E. Butin,30,France,66,Stade Brestois 29,Right,11,2019,71,168,0,No Speciality
J. Fitzwater,20,England,66,Walsall,Right,27,"Jun 30, 2019",74,154,EFL LEAGUE ONE,No Speciality
M. Cholewiak,28,Poland,66,Śląsk Wrocław,Left,11,2019,72,161,EKSTRAKLASA,No Speciality
C. Schösswendter,29,Austria,66,1. FC Union Berlin,Right,3,2019,76,172,0,No Speciality
R. Klaasen,24,Netherlands,66,De Graafschap,Left,6,2019,70,163,EREDIVISIE,No Speciality
P. Pervan,30,Austria,66,VfL Wolfsburg,Right,12,2021,76,203,BUNDESLIGA,Goalkeeper
M. de Jong,31,Canada,66,Vancouver Whitecaps FC,Left,16,2019,69,161,0,No Speciality
Corpas,26,Spain,66,UD Almería,Right,17,2020,69,146,LALIGA 1 | 2 | 3,No Speciality
A. Lukse,30,Austria,66,SCR Altach,Right,12,2019,74,181,Ö. BUNDESLIGA,Goalkeeper
A. Wittwer,27,Switzerland,66,FC St. Gallen,Left,16,2019,68,172,RAIFFEISEN SUPER LEAGUE,No Speciality
E. Ebanks-Landell,25,England,66,Wolverhampton Wanderers,Right,44,2020,74,194,PREMIER LEAGUE,No Speciality
S. Gündüz,24,Germany,66,SV Darmstadt 98,Right,8,2019,67,163,0,No Speciality
A. Uryga,24,Poland,66,Wisła Płock,Right,18,2019,75,187,EKSTRAKLASA,No Speciality
J. Absalonsen,32,Denmark,66,SønderjyskE,Left,15,2019,70,168,SUPERLIGA,No Speciality
J. Willis,29,United States,66,Houston Dynamo,Right,23,2022,77,185,MLS,Goalkeeper
E. Brophy,22,Scotland,66,Kilmarnock,Right,25,2021,69,150,SCOTTISH PREMIERSHIP,No Speciality
T. Hübers,21,Germany,66,Hannover 96,Right,15,2021,75,181,BUNDESLIGA,No Speciality
Q. Laçi,22,Albania,66,AC Ajaccio,Right,10,2019,71,176,DOMINO'S LIGUE 2,No Speciality
T. Mohamad,28,Syria,66,Ohod Club,Right,14,2019,71,183,SAUDI PROFESSIONAL LEAGUE,No Speciality
Dyjan Azevedo,27,Brazil,66,Paris FC,Right,10,2019,67,143,DOMINO'S LIGUE 2,No Speciality
L. Palmer,26,Scotland,66,Sheffield Wednesday,Right,2,2019,74,179,0,No Speciality
F. Evangelista,26,Argentina,66,Estudiantes de La Plata,Left,13,"Jun 30, 2019",69,154,0,No Speciality
Óscar Pinchi,22,Spain,66,Atlético Madrid,Right,46,2020,68,137,LALIGA SANTANDER,No Speciality
Z. Laaroubi,33,Morocco,66,Ohod Club,Right,1,2019,73,190,SAUDI PROFESSIONAL LEAGUE,Goalkeeper
M. Palacios,25,Colombia,66,Alianza Petrolera,Right,7,2023,71,183,0,No Speciality
Borja,21,Spain,66,CD Lugo,Right,17,2021,69,148,LALIGA 1 | 2 | 3,No Speciality
F. Vanzo,24,Belgium,66,Waasland-Beveren,Right,10,2020,70,176,0,No Speciality
A. Zapata,33,Colombia,66,América de Cali,Right,3,2018,72,174,LIGA DIMAYOR,No Speciality
S. Szmodics,22,England,66,Colchester United,Right,10,2019,66,141,0,No Speciality
A. Trusty,19,United States,66,Philadelphia Union,Left,26,2019,75,185,0,No Speciality
Ryu Won Woo,27,Korea Republic,66,Pohang Steelers,Left,1,2022,73,172,K-LEAGUE 1,Goalkeeper
F. Dick,33,Germany,66,1. FC Kaiserslautern,Right,23,2019,72,185,0,No Speciality
D. Rose,24,England,66,Mansfield Town,Right,32,2021,68,159,EFL LEAGUE TWO,No Speciality
M. Oesterhelweg,27,Germany,66,VfL Sportfreunde Lotte,Left,10,2019,71,161,0,No Speciality
D. Mignanelli,25,Italy,66,Ascoli,Left,33,2019,69,154,CALCIO B,No Speciality
Lee Jong Ho,26,Korea Republic,66,Ulsan Hyundai FC,Left,10,2022,71,172,0,No Speciality
Z. Clark,26,Scotland,66,St. Johnstone FC,Right,1,2020,75,187,0,Goalkeeper
S. Stevens,26,Netherlands,66,Excelsior,Right,20,2020,76,205,EREDIVISIE,Goalkeeper
Sergio Gil,22,Spain,66,CD Lugo,Left,21,2019,72,150,LALIGA 1 | 2 | 3,No Speciality
U. Zeybek,23,Turkey,66,Fenerbahçe SK,Right,15,2020,70,159,SÜPER LIG,No Speciality
A. Acosta,21,Mexico,66,U.N.A.M.,Right,22,2021,68,161,LIGA BANCOMER MX,No Speciality
K. Oi,34,Japan,66,Júbilo Iwata,Right,3,2021,71,165,MEIJI YASUDA J1,No Speciality
Y. Sari,19,Turkey,66,Clermont Foot 63,Left,7,"Jun 30, 2019",66,121,0,No Speciality
M. Ruiz,17,Mexico,66,Querétaro,Right,96,2021,70,163,LIGA BANCOMER MX,No Speciality
L. Holmes,31,England,66,Exeter City,Left,10,2019,69,146,EFL LEAGUE TWO,No Speciality
D. Powers,27,United States,66,Orlando City SC,Right,5,2023,71,176,0,No Speciality
S. Henderson,30,Republic of Ireland,66,Nottingham Forest,Right,41,2019,74,192,0,Goalkeeper
S. Scougall,25,Scotland,66,St. Johnstone FC,Left,21,2019,67,126,0,No Speciality
Cho Yong Hyung,34,Korea Republic,66,Jeju United FC,Right,20,2023,72,159,0,No Speciality
Cho Young Wook,19,Korea Republic,66,FC Seoul,Right,32,2021,70,157,K-LEAGUE 1,No Speciality
H. Koffi,21,Burkina Faso,66,LOSC Lille,Right,30,2022,73,179,LIGUE 1 CONFORAMA,Goalkeeper
S. Sandberg,24,Sweden,66,Hammarby IF,Right,2,2019,73,170,ALLSVENSKAN,No Speciality
T. Gabuza,30,South Africa,66,Orlando Pirates,Right,31,2018,72,190,REST OF WORLD,No Speciality
P. Muñoz,32,Chile,66,CD O'Higgins,Right,7,2018,68,152,CAMP. SCOTIABANK,No Speciality
C. MacGillivray,25,England,66,Portsmouth,Right,15,2020,74,172,EFL LEAGUE ONE,Goalkeeper
C. Arcus,22,Haiti,66,AJ Auxerre,Right,2,2022,71,168,DOMINO'S LIGUE 2,No Speciality
A. Dercho,31,Germany,66,VfL Osnabrück,Left,6,2019,73,165,3. LIGA,No Speciality
H. Hauger,32,Norway,66,Strømsgodset IF,Right,6,2019,70,157,ELITESERIEN,No Speciality
Manu,34,Switzerland,66,Elche CF,Left,3,2019,69,154,LALIGA 1 | 2 | 3,No Speciality
J. Leko,19,England,66,West Bromwich Albion,Right,20,2021,72,141,EFL CHAMPIONSHIP,No Speciality
J. Aguirre,26,Colombia,66,Atlético Bucaramanga,Right,12,2019,71,154,0,Goalkeeper
Kim Chang Soo,32,Korea Republic,66,Ulsan Hyundai FC,Right,27,2018,70,152,0,No Speciality
L. Ćirković,25,Serbia,66,FC Luzern,Right,3,2021,76,176,RAIFFEISEN SUPER LEAGUE,No Speciality
Isma Cerro,22,Spain,66,Real Sporting de Gijón,Right,11,2019,70,161,0,No Speciality
E. Castillo,23,Ecuador,66,Club Tijuana,Right,11,2021,70,152,0,No Speciality
P. Downing,26,England,66,Blackburn Rovers,Right,25,2019,74,174,EFL CHAMPIONSHIP,No Speciality
R. Vollath,28,Germany,66,KFC Uerdingen 05,Right,1,2019,73,165,0,Goalkeeper
A. Munksgaard,20,Denmark,66,FC Midtjylland,Right,13,2023,72,165,SUPERLIGA,No Speciality
M. Ogbu,27,Nigeria,66,IK Sirius,Right,90,2018,73,172,ALLSVENSKAN,No Speciality
Jang Ho Ik,24,Korea Republic,66,Suwon Samsung Bluewings,Right,35,2021,68,137,0,No Speciality
K. Bartolec,23,Croatia,66,FC Nordsjælland,Right,2,2020,69,172,SUPERLIGA,No Speciality
G. Malcore,24,Italy,66,Cittadella,Right,10,2019,72,174,CALCIO B,No Speciality
V. Gvilia,24,Georgia,66,FC Luzern,Right,80,2020,72,174,RAIFFEISEN SUPER LEAGUE,No Speciality
D. Burnić,20,Germany,66,Borussia Dortmund,Left,32,2019,71,154,BUNDESLIGA,No Speciality
A. Öztürk,25,Turkey,66,Sunderland,Right,5,2020,75,176,EFL LEAGUE ONE,No Speciality
K. Taketomi,27,Japan,66,Urawa Red Diamonds,Right,7,2021,68,152,0,No Speciality
M. Mancosu,29,Italy,66,Lecce,Right,8,2019,72,168,CALCIO B,No Speciality
D. Jaković,32,Canada,66,Los Angeles FC,Right,5,2019,74,176,MLS,No Speciality
M. Saeid,27,Sweden,66,IK Sirius,Left,26,2021,67,141,ALLSVENSKAN,No Speciality
U. Taffertshofer,26,Germany,66,VfL Osnabrück,Right,8,2020,72,181,3. LIGA,No Speciality
A. Medina,33,Argentina,66,Club Atlético Aldosivi,Right,7,2020,67,143,0,No Speciality
M. Papadopulos,33,Czech Republic,66,Piast Gliwice,Right,27,2019,72,174,EKSTRAKLASA,No Speciality
N. Zaniolo,18,Italy,66,Roma,Left,22,2023,75,174,SERIE A TIM,No Speciality
F. Montero,29,Argentina,66,Argentinos Juniors,Right,30,2021,66,157,0,No Speciality
J. Vuković,26,Croatia,66,Clube Sport Marítimo,Right,44,2021,73,168,0,No Speciality
E. Barli,26,Norway,66,Ranheim Fotball,Right,1,2019,74,179,ELITESERIEN,Goalkeeper
G. Carrasco,21,Argentina,66,Club Atlético Lanús,Right,27,2021,69,163,0,No Speciality
A. Balijon,35,France,66,Le Havre AC,Right,50,2019,72,176,0,Goalkeeper
I. Saavedra,19,Chile,66,Universidad Católica,Right,24,2020,68,150,0,No Speciality
Z. Janjić,32,Bosnia Herzegovina,66,Korona Kielce,Right,31,2019,74,183,EKSTRAKLASA,No Speciality
J. Skjelvik,26,Norway,66,LA Galaxy,Left,16,2021,72,170,MLS,No Speciality
K. Kamiński,27,Poland,66,Júbilo Iwata,Right,21,2022,75,181,MEIJI YASUDA J1,Goalkeeper
M. Endres,27,Germany,66,SpVgg Unterhaching,Right,6,2022,74,183,0,No Speciality
B. Delacourt,32,France,66,KSV Cercle Brugge,Right,28,2019,70,170,0,No Speciality
C. Rismark,26,Norway,66,SK Brann,Left,4,2021,76,192,ELITESERIEN,No Speciality
A. Ligi,28,Italy,66,Carpi,Right,14,2019,75,183,CALCIO B,No Speciality
D. Lachman,28,Curacao,66,PEC Zwolle,Right,29,2020,74,165,EREDIVISIE,No Speciality
M. Riascos,27,Colombia,66,Al Batin,Right,11,2021,68,161,SAUDI PROFESSIONAL LEAGUE,No Speciality
L. Vignali,22,Italy,66,Spezia,Right,24,2023,72,165,0,No Speciality
S. Skålevik,25,Norway,66,SK Brann,Right,11,2019,71,165,ELITESERIEN,No Speciality
M. Djetei,23,Cameroon,66,Gimnàstic de Tarragona,Right,24,2020,73,161,0,No Speciality
A. Fuchs,21,Germany,66,1. FC Nürnberg,Right,35,2020,72,163,BUNDESLIGA,No Speciality
M. Könnecke,29,Germany,66,FSV Zwickau,Right,13,2021,69,154,3. LIGA,No Speciality
E. Yao Guy,22,Ivory Coast,66,FC Lugano,Right,15,2019,72,168,RAIFFEISEN SUPER LEAGUE,No Speciality
G. Burke,24,Republic of Ireland,66,Preston North End,Left,19,2021,69,159,0,No Speciality
C. Hemlein,27,Germany,66,1. FC Kaiserslautern,Right,17,2020,71,174,0,No Speciality
D. Anderson,23,Netherlands,66,US Salernitana 1919,Right,13,"Jun 30, 2019",71,159,0,No Speciality
